Origin,FlightDate,Region
MYR,13,SouthAtlantic
GSP,26,SouthAtlantic
MYR,6,SouthAtlantic
GSO,18,SouthAtlantic
FLL,29,SouthAtlantic
MYR,15,SouthAtlantic
PIE,6,SouthAtlantic
SFB,30,SouthAtlantic
PBI,6,SouthAtlantic
SAV,5,SouthAtlantic
ORF,8,SouthAtlantic
RIC,4,SouthAtlantic
CHS,14,SouthAtlantic
MYR,25,SouthAtlantic
MCO,16,SouthAtlantic
BWI,6,SouthAtlantic
MIA,3,SouthAtlantic
GSP,1,SouthAtlantic
CLT,9,SouthAtlantic
PIE,15,SouthAtlantic
FLL,3,SouthAtlantic
PBI,14,SouthAtlantic
SAV,12,SouthAtlantic
RSW,26,SouthAtlantic
SAV,18,SouthAtlantic
CHS,13,SouthAtlantic
RSW,8,SouthAtlantic
ORF,24,SouthAtlantic
MCO,4,SouthAtlantic
GSO,7,SouthAtlantic
PIE,31,SouthAtlantic
ATL,3,SouthAtlantic
SAV,25,SouthAtlantic
BWI,23,SouthAtlantic
ATL,6,SouthAtlantic
BWI,13,SouthAtlantic
TPA,16,SouthAtlantic
CLT,4,SouthAtlantic
SFB,6,SouthAtlantic
FLL,11,SouthAtlantic
RIC,6,SouthAtlantic
TPA,18,SouthAtlantic
ORF,26,SouthAtlantic
JAX,10,SouthAtlantic
RDU,16,SouthAtlantic
BWI,28,SouthAtlantic
GSP,14,SouthAtlantic
BWI,26,SouthAtlantic
MIA,14,SouthAtlantic
MCO,13,SouthAtlantic
GSP,10,SouthAtlantic
TPA,27,SouthAtlantic
BWI,3,SouthAtlantic
CLT,1,SouthAtlantic
ORF,28,SouthAtlantic
PIE,23,SouthAtlantic
RSW,27,SouthAtlantic
DCA,29,SouthAtlantic
FLL,5,SouthAtlantic
MCO,28,SouthAtlantic
SAV,29,SouthAtlantic
RIC,12,SouthAtlantic
MYR,14,SouthAtlantic
IAD,11,SouthAtlantic
JAX,27,SouthAtlantic
JAX,7,SouthAtlantic
MIA,10,SouthAtlantic
SAV,2,SouthAtlantic
DCA,8,SouthAtlantic
TPA,10,SouthAtlantic
PNS,6,SouthAtlantic
CLT,13,SouthAtlantic
MIA,11,SouthAtlantic
PNS,11,SouthAtlantic
JAX,15,SouthAtlantic
CHS,4,SouthAtlantic
RDU,4,SouthAtlantic
RIC,10,SouthAtlantic
RSW,20,SouthAtlantic
CLT,17,SouthAtlantic
MCO,18,SouthAtlantic
GSO,5,SouthAtlantic
MYR,28,SouthAtlantic
PIE,27,SouthAtlantic
DCA,17,SouthAtlantic
MIA,20,SouthAtlantic
ATL,23,SouthAtlantic
BWI,9,SouthAtlantic
MYR,11,SouthAtlantic
SFB,23,SouthAtlantic
MCO,8,SouthAtlantic
CHS,12,SouthAtlantic
BWI,30,SouthAtlantic
DCA,19,SouthAtlantic
CHS,9,SouthAtlantic
GSP,7,SouthAtlantic
RDU,6,SouthAtlantic
RIC,7,SouthAtlantic
PNS,9,SouthAtlantic
PIE,5,SouthAtlantic
SAV,6,SouthAtlantic
PIE,24,SouthAtlantic
SAV,28,SouthAtlantic
BWI,10,SouthAtlantic
GSP,25,SouthAtlantic
ATL,27,SouthAtlantic
CHS,11,SouthAtlantic
TPA,11,SouthAtlantic
FLL,24,SouthAtlantic
MIA,16,SouthAtlantic
ATL,20,SouthAtlantic
RSW,13,SouthAtlantic
GSP,28,SouthAtlantic
RSW,3,SouthAtlantic
CHS,21,SouthAtlantic
JAX,18,SouthAtlantic
RSW,11,SouthAtlantic
DCA,21,SouthAtlantic
BWI,4,SouthAtlantic
PIE,21,SouthAtlantic
JAX,4,SouthAtlantic
PNS,13,SouthAtlantic
RDU,25,SouthAtlantic
MCO,30,SouthAtlantic
BWI,20,SouthAtlantic
CLT,10,SouthAtlantic
PNS,20,SouthAtlantic
PNS,2,SouthAtlantic
FLL,4,SouthAtlantic
ORF,3,SouthAtlantic
IAD,16,SouthAtlantic
SFB,3,SouthAtlantic
MYR,5,SouthAtlantic
SAV,30,SouthAtlantic
PNS,7,SouthAtlantic
ATL,25,SouthAtlantic
ORF,14,SouthAtlantic
GSO,16,SouthAtlantic
ORF,18,SouthAtlantic
SFB,18,SouthAtlantic
ATL,28,SouthAtlantic
RDU,11,SouthAtlantic
RDU,2,SouthAtlantic
ORF,6,SouthAtlantic
PNS,3,SouthAtlantic
MYR,26,SouthAtlantic
GSP,4,SouthAtlantic
CLT,6,SouthAtlantic
MIA,4,SouthAtlantic
SFB,27,SouthAtlantic
MYR,3,SouthAtlantic
JAX,8,SouthAtlantic
CLT,7,SouthAtlantic
DCA,5,SouthAtlantic
MCO,6,SouthAtlantic
PNS,8,SouthAtlantic
MYR,30,SouthAtlantic
BWI,19,SouthAtlantic
RSW,25,SouthAtlantic
MIA,28,SouthAtlantic
CHS,3,SouthAtlantic
MYR,19,SouthAtlantic
PNS,29,SouthAtlantic
TPA,30,SouthAtlantic
CLT,3,SouthAtlantic
RSW,15,SouthAtlantic
DCA,30,SouthAtlantic
MCO,26,SouthAtlantic
CLT,26,SouthAtlantic
SAV,19,SouthAtlantic
ORF,27,SouthAtlantic
IAD,26,SouthAtlantic
MYR,16,SouthAtlantic
PNS,28,SouthAtlantic
PIE,29,SouthAtlantic
CHS,20,SouthAtlantic
CHS,29,SouthAtlantic
SFB,8,SouthAtlantic
GSO,30,SouthAtlantic
JAX,24,SouthAtlantic
SFB,4,SouthAtlantic
CHS,30,SouthAtlantic
MYR,21,SouthAtlantic
PIE,9,SouthAtlantic
PIE,3,SouthAtlantic
MIA,24,SouthAtlantic
JAX,29,SouthAtlantic
RSW,2,SouthAtlantic
FLL,17,SouthAtlantic
SAV,1,SouthAtlantic
MIA,8,SouthAtlantic
GSO,15,SouthAtlantic
BWI,25,SouthAtlantic
TPA,1,SouthAtlantic
BWI,17,SouthAtlantic
RDU,1,SouthAtlantic
RSW,16,SouthAtlantic
SAV,22,SouthAtlantic
FLL,30,SouthAtlantic
GSP,9,SouthAtlantic
PIE,8,SouthAtlantic
BWI,11,SouthAtlantic
DCA,20,SouthAtlantic
