Origin,FlightDate,Region
ONT,30,Pacific
BUR,19,Pacific
SFO,6,Pacific
LIH,9,Pacific
GEG,8,Pacific
KOA,11,Pacific
SAN,24,Pacific
LIH,4,Pacific
PSP,25,Pacific
HNL,27,Pacific
OGG,2,Pacific
HNL,17,Pacific
OAK,17,Pacific
BUR,18,Pacific
SFO,21,Pacific
SAN,8,Pacific
SJC,24,Pacific
PDX,25,Pacific
SMF,1,Pacific
PDX,17,Pacific
SJC,1,Pacific
KOA,16,Pacific
OGG,16,Pacific
LIH,13,Pacific
HNL,30,Pacific
GEG,30,Pacific
LIH,25,Pacific
PDX,11,Pacific
GEG,13,Pacific
OAK,20,Pacific
SJC,15,Pacific
ONT,13,Pacific
LIH,22,Pacific
OAK,18,Pacific
SMF,23,Pacific
HNL,10,Pacific
LAX,13,Pacific
SNA,25,Pacific
SMF,31,Pacific
LGB,22,Pacific
SJC,28,Pacific
ONT,18,Pacific
SAN,22,Pacific
LGB,26,Pacific
LAX,31,Pacific
SMF,21,Pacific
SEA,29,Pacific
SJC,13,Pacific
PDX,9,Pacific
GEG,24,Pacific
SJC,4,Pacific
ONT,10,Pacific
SEA,26,Pacific
LGB,13,Pacific
BUR,14,Pacific
OAK,26,Pacific
ONT,24,Pacific
PDX,22,Pacific
SNA,1,Pacific
SNA,20,Pacific
SFO,28,Pacific
SEA,24,Pacific
SEA,7,Pacific
SJC,12,Pacific
OAK,31,Pacific
PDX,4,Pacific
SNA,18,Pacific
PSP,27,Pacific
SAN,26,Pacific
SEA,19,Pacific
BUR,29,Pacific
ANC,4,Pacific
LGB,2,Pacific
GEG,7,Pacific
SAN,23,Pacific
KOA,22,Pacific
OGG,28,Pacific
PDX,5,Pacific
LAX,9,Pacific
PSP,22,Pacific
SJC,18,Pacific
SJC,17,Pacific
LAX,16,Pacific
GEG,19,Pacific
LAX,11,Pacific
SAN,25,Pacific
OAK,7,Pacific
PDX,29,Pacific
ONT,6,Pacific
ANC,21,Pacific
PDX,16,Pacific
LGB,31,Pacific
SEA,22,Pacific
PSP,26,Pacific
LGB,1,Pacific
LAX,2,Pacific
LAX,1,Pacific
SMF,24,Pacific
ANC,3,Pacific
PSP,8,Pacific
PDX,2,Pacific
KOA,12,Pacific
BUR,13,Pacific
OGG,4,Pacific
OAK,12,Pacific
KOA,1,Pacific
SNA,17,Pacific
LIH,23,Pacific
ANC,31,Pacific
BUR,17,Pacific
SEA,10,Pacific
HNL,28,Pacific
SNA,13,Pacific
ONT,1,Pacific
KOA,5,Pacific
LGB,8,Pacific
LGB,20,Pacific
OAK,23,Pacific
LIH,27,Pacific
ANC,25,Pacific
HNL,21,Pacific
ANC,20,Pacific
LIH,10,Pacific
KOA,21,Pacific
SFO,5,Pacific
SMF,6,Pacific
LIH,16,Pacific
GEG,31,Pacific
HNL,8,Pacific
GEG,28,Pacific
SMF,12,Pacific
LAX,14,Pacific
KOA,23,Pacific
SMF,13,Pacific
LAX,26,Pacific
ONT,2,Pacific
OAK,14,Pacific
OAK,1,Pacific
KOA,30,Pacific
SEA,31,Pacific
LIH,7,Pacific
OGG,24,Pacific
SAN,29,Pacific
BUR,1,Pacific
KOA,10,Pacific
KOA,2,Pacific
SMF,3,Pacific
HNL,9,Pacific
BUR,5,Pacific
OGG,7,Pacific
OGG,18,Pacific
ONT,26,Pacific
