Origin,FlightDate,Region
LIT,5,WestSouthCentral
TUL,25,WestSouthCentral
IAH,14,WestSouthCentral
TUL,13,WestSouthCentral
IAH,26,WestSouthCentral
AUS,11,WestSouthCentral
OKC,14,WestSouthCentral
OKC,1,WestSouthCentral
AUS,31,WestSouthCentral
DAL,28,WestSouthCentral
SAT,5,WestSouthCentral
HOU,29,WestSouthCentral
ELP,8,WestSouthCentral
TUL,12,WestSouthCentral
TUL,3,WestSouthCentral
TUL,9,WestSouthCentral
MSY,9,WestSouthCentral
SAT,8,WestSouthCentral
SAT,24,WestSouthCentral
ELP,29,WestSouthCentral
