#This file contains experimental data.
#File written at Wed Jan 17 02:59:39 EST 2018.
#ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,BASE_HEIGHT,TOP_HEIGHT,HEIGHT,RADIUS,AZDIA,SHEAR
