,C,cache_size,coef0,degree,epsilon,gamma,kernel,max_iter,shrinking,tol,verbose,Pacific,Mountain,WestNorthCentral,WestSouthCentral,EastNorthCentral,EastSouthCentral,MiddleAtlantic,SouthAtlantic,NewEngland
0,0.65,200,0.0,3,0.1,0.09,rbf,-1,True,0.001,False,MAE: 0.08906355286144857,MAE: 0.09662886061972537,MAE: 0.07280787301280353,MAE: 0.0765393330000943,MAE: 0.07827174209608247,MAE: 0.07143530184089086,MAE: 0.0810908453840778,MAE: 0.07601989650923445,MAE: 0.06844033402292603
1,0.65,200,0.0,3,0.1,0.09,rbf,-1,True,0.001,False,MSE: 0.014674012052123746,MSE: 0.01618312912520533,MSE: 0.008610018495116552,MSE: 0.012403551373916246,MSE: 0.0097222185735616,MSE: 0.00836057125593442,MSE: 0.0102573197614847,MSE: 0.009678593008033387,MSE: 0.00859381843702598
